rep,Espec,Recip,resp,trat,Trat
1,E1,R1,26.2,T1,E1.R1
2,E1,R1,26.0 ,T1,E1.R1
3,E1,R1,25.0 ,T1,E1.R1
4,E1,R1,25.4 ,T1,E1.R1
1,E2,R1,24.8 ,T2,E2.R1
2,E2,R1,24.6 ,T2,E2.R1
3,E2,R1,26.7 ,T2,E2.R1
4,E2,R1,25.2 ,T2,E2.R1
1,E1,R2,25.7 ,T3,E1.R2
2,E1,R2,26.3 ,T3,E1.R2
3,E1,R2,25.1 ,T3,E1.R2
4,E1,R2,26.4 ,T3,E1.R2
1,E2,R2,19.6 ,T4,E2.R2
2,E2,R2,21.1 ,T4,E2.R2
3,E2,R2,19.0 ,T4,E2.R2
4,E2,R2,18.6 ,T4,E2.R2
1,E1,R3,22.8 ,T5,E1.R3
2,E1,R3,19.4 ,T5,E1.R3
3,E1,R3,18.8 ,T5,E1.R3
4,E1,R3,19.2 ,T5,E1.R3
1,E2,R3,19.8 ,T6,E2.R3
2,E2,R3,21.4 ,T6,E2.R3
3,E2,R3,22.8 ,T6,E2.R3
4,E2,R3,21.3 ,T6,E2.R3
