Trat,V1,V2,V3,V4,V5,V6,V7
T1,0.2641,"37,498","141,964","508,125","415,846","76,029",0.1496
T1,0.2686,"37,584","139,931","509,835","415,317","74,848",0.1468
T1,0.2534,"37,288","147,119","512,187","411,364","76,448",0.1493
T1,0.2646,"38,066","143,885","501,781","419,751","78,568",0.1538
T1,0.2674,"37,707","141,003","514,442","411,296","74,348",0.1445
T1,0.2647,"37,492","141,617","517,418","408,164","74,419",0.1439
T1,0.2615,"3,711","141,934","49,691","426,104","76,985",0.1549
T1,0.2574,"37,667","144,064","508,604","415,824","75,574",0.1486
T2,0.3082,"36,688","119,032","501,596","447,324","51,079",0.1018
T2,0.3028,"36,869","121,748","510,211","437,937","51,851",0.1016
T2,0.2986,"36,462","122,127","501,743","447,181","51,076",0.1018
T2,0.3088,"36,534","118,326","503,315","445,703","50,982",0.1013
T2,0.3152,"36,755","116,604","487,372","463,307","49,321",0.1012
T2,0.2974,"36,462","122,594","491,212","456,885","51,902",0.1057
T2,0.3036,"36,621","120,602","50,338","454,279","42,341",0.104
T2,0.2935,"36,486","12,433","498,098","449,126","52,776",0.106
T3,0.3265,"35,218","104,667","537,498","411,561","50,964",0.0948
T3,0.3381,"34,948","103,354","533,053","415,914","51,033",0.0957
T3,0.3414,"35,198","103,096","535,173","414,064","50,761",0.0948
T3,0.3352,"35,109","104,754","528,601","419,989","5,141",0.0973
T3,0.3368,"35,314","104,853","523,581","425,652","50,767",0.097
T3,0.3367,"35,224","104,602","532,827","416,098","51,076",0.0959
T3,0.3361,"34,972","104,059","53,752","411,832","50,647",0.0942
T3,0.3414,"35,098","102,802","535,173","414,064","50,761",0.0949
T4,0.3506,"31,983","91,235","427,332","524,618","4,805",0.1124
T4,0.3525,"32,163","91,247","428,315","523,111","48,574",0.1134
T4,0.3496,"32,131","91,909","424,186","527,001","48,813",0.1151
T4,0.3468,3.22,"92,858","423,136","531,051","45,812",0.1083
T4,0.3527,"32,172","91,216","431,662","518,315","50,023",0.1159
T4,0.3475,"3,229","92,916","428,412","52,196","49,628",0.1158
T4,0.3517,"31,981","90,936","420,623","531,285","48,092",0.1143
T4,0.3536,"3,209","90,741","42,496","52,671","48,329",0.1137
