Pará	  12 909	  96 065
Baixo Amazonas	   462	  4 055
    Óbidos	   33	   270
      Juruti	   18	   140
      Óbidos	   9	   76
      Oriximiná	   5	   46
      Terra Santa	   1	   8
    Santarém	   429	  3 784
      Alenquer	   25	   200
      Belterra	   12	   108
      Curuá	   11	   80
      Mojuí dos Campos	   26	   230
      Monte Alegre	   45	   348
      Placas	   60	   480
      Santarém	   251	  2 339
  Marajó	   30	   316
    Furos de Breves	   19	   220
      Breves	   19	   220
    Arari	   11	   96
      Cachoeira do Arari	   7	   56
      Santa Cruz do Arari	   4	   40
  Metropolitana de Belém	   271	  2 223
    Belém	   102	   975
      Barcarena	   65	   705
      Benevides	   8	   80
      Marituba	   20	   100
      Santa Bárbara do Pará	   9	   90
    Castanhal	   169	  1 248
      Bujaru	   5	   35
      Castanhal	   156	  1 149
      Inhangapi	   6	   44
      Santo Antônio do Tauá	   3	   20
  Nordeste Paraense	  1 221	  11 823
    Salgado	   36	   340
      Curuçá	   3	   24
      Magalhães Barata	   12	   90
      Maracanã	   4	   28
      São João de Pirabas	   8	   136
      Terra Alta	   5	   34
      Vigia	   4	   29
    Bragantina	   158	  1 346
      Augusto Corrêa	   7	   50
      Bonito	   16	   143
      Bragança	   17	   155
      Igarapé-Açu	   18	   138
      Peixe-Boi	   5	   43
      Primavera	   17	   149
      Quatipuru	   21	   224
      Santarém Novo	   8	   72
      São Francisco do Pará	   47	   349
      Tracuateua	   3	   25
    Cametá	   219	  2 942
      Abaetetuba	   50	   400
      Baião	   11	   165
      Cametá	   21	   314
      Limoeiro do Ajuru	   21	   315
      Mocajuba	   22	   331
      Oeiras do Pará	   95	  1 418
    Tomé-Açu	   211	  2 169
      Acará	   60	   708
      Concórdia do Pará	   5	   38
      Moju	   21	   173
      Tailândia	   28	   280
      Tomé-Açu	   97	   970
    Guamá	   597	  5 026
      Cachoeira do Piriá	   46	   338
      Capitão Poço	   171	  1 594
      Garrafão do Norte	   85	   693
      Irituia	   45	   338
      Nova Esperança do Piriá	   43	   430
      Ourém	   72	   620
      Santa Luzia do Pará	   15	   120
      São Domingos do Capim	   5	   39
      São Miguel do Guamá	   90	   677
      Viseu	   25	   178
  Sudoeste Paraense	  1 113	  9 423
    Itaituba	   410	  3 391
      Itaituba	   9	   72
      Jacareacanga	   5	   60
      Novo Progresso	   21	   189
      Rurópolis	   350	  2 800
      Trairão	   25	   270
    Altamira	   703	  6 032
      Altamira	   135	  1 171
      Anapu	   107	   910
      Brasil Novo	   36	   308
      Medicilândia	   48	   412
      Pacajá	   98	   837
      Senador José Porfírio	   3	   29
      Uruará	   230	  1 973
      Vitória do Xingu	   46	   393
  Sudeste Paraense	  9 812	  68 226
    Tucuruí	   427	  3 751
      Breu Branco	   44	   534
      Itupiranga	   171	   943
      Jacundá	   10	   101
      Nova Ipixuna	   11	   72
      Novo Repartimento	   8	   83
      Tucuruí	   184	  2 019
    Paragominas	  4 991	  30 337
      Abel Figueiredo	   20	   118
      Bom Jesus do Tocantins	   213	  1 292
      Goianésia do Pará	   102	   953
      Paragominas	  4 515	  27 125
      Rondon do Pará	   5	   28
      Ulianópolis	   137	   822
    São Félix do Xingu	   910	  7 604
      Bannach	   45	   380
      Cumaru do Norte	   7	   79
      Ourilândia do Norte	   234	  1 938
      São Félix do Xingu	   130	  1 150
      Tucumã	   494	  4 056
    Parauapebas	   523	  3 943
      Água Azul do Norte	   219	  2 268
      Canaã dos Carajás	   22	   122
      Curionópolis	   27	   151
      Eldorado dos Carajás	   45	   248
      Parauapebas	   210	  1 155
    Marabá	  1 620	  9 429
      Brejo Grande do Araguaia	   4	   23
      Marabá	  1 141	  6 791
      Palestina do Pará	   20	   107
      São Domingos do Araguaia	   26	   143
      São João do Araguaia	   430	  2 365
    Redenção	   675	  7 182
      Pau D'Arco	   12	   154
      Piçarra	   320	  3 858
      Redenção	   12	   133
      Rio Maria	   90	   810
      São Geraldo do Araguaia	   67	   369
      Sapucaia	   1	   7
      Xinguara	   173	  1 852
    Conceição do Araguaia	   666	  5 979
      Conceição do Araguaia	   568	  4 945
      Floresta do Araguaia	   63	   756
      Santa Maria das Barreiras	   15	   180
      Santana do Araguaia	   20	   97
