ESPEC,Espécies,Provador,Cor,Olhos,Brânquias,Escamas,Mucosidade,Integridade,Odor,Firmeza Abdominal,Firmeza Muscular
PG,Pescado Gó,1,3.00,2.70,2.80,2.70,2.70,2.65,2.75,2.95,2.90
PG,Pescado Gó,2,2.80,2.60,3.15,2.90,2.50,2.95,3.05,2.95,2.80
PG,Pescado Gó,3,2.80,2.60,2.95,2.85,2.55,2.95,3.15,2.95,2.80
COR,Corvina,1,2.85,2.95,2.80,3.40,3.15,2.95,3.40,3.25,3.05
COR,Corvina,2,3.10,2.95,3.35,3.40,3.25,3.40,3.05,3.25,3.10
COR,Corvina,3,3.05,3.25,3.25,3.50,3.00,3.05,3.15,3.15,2.95
SER,Serra,1,3.60,3.65,1.60,0.00,3.45,3.10,4.00,2.00,3.40
SER,Serra,2,3.45,3.40,3.40,0.00,3.45,3.00,4.00,3.50,3.25
SER,Serra,3,3.50,3.15,2.95,0.00,3.35,3.50,3.10,3.00,3.00
PAR,Pargo,1,2.70,2.45,2.50,2.60,2.65,2.40,2.55,2.55,2.50
PAR,Pargo,2,2.80,2.60,2.70,2.80,2.75,2.70,2.85,2.60,2.50
PAR,Pargo,3,2.90,2.35,3.00,3.10,2.90,3.05,2.90,2.75,3.25
TAI,Tainha,1,3.65,3.45,3.50,3.60,3.55,3.55,4.00,3.80,3.45
TAI,Tainha,2,3.65,3.50,3.60,3.55,3.45,3.40,3.70,3.95,3.95
TAI,Tainha,3,3.65,3.40,3.50,3.50,3.55,3.40,4.00,3.60,3.60
BAN,Bandeirado,1,3.95,3.50,3.90,0.00,3.80,3.80,4.00,3.95,3.95
BAN,Bandeirado,2,3.55,3.05,3.60,0.00,3.60,3.50,3.60,3.60,3.65
BAN,Bandeirado,3,3.70,3.05,3.55,0.00,3.45,3.45,3.50,3.40,3.60
CAN,Cangatã,1,3.55,3.20,3.55,0.00,3.45,3.65,3.30,3.65,3.70
CAN,Cangatã,2,3.85,3.40,3.50,0.00,3.75,3.35,3.85,3.75,3.65
CAN,Cangatã,3,3.55,3.35,3.60,0.00,3.50,3.80,3.50,3.50,3.70
CAI,Caíca,1,2.65,2.75,3.85,3.60,3.55,4.00,4.00,3.70,3.65
CAI,Caíca,2,2.65,2.60,3.30,3.55,3.30,3.60,2.90,3.45,3.65
CAI,Caíca,3,3.70,3.60,3.45,3.20,3.30,3.40,3.45,3.40,3.55
ARI,Ariacó,1,3.30,2.70,2.70,2.60,3.00,2.85,2.70,2.50,2.40
ARI,Ariacó,2,3.50,2.45,3.00,3.20,3.00,3.05,3.05,3.00,3.15
ARI,Ariacó,3,2.85,2.55,2.55,2.70,2.40,2.55,3.00,2.60,3.55
GUR,Gurijuba,1,3.70,3.80,3.80,0.00,4.00,3.85,4.00,3.75,3.95
GUR,Gurijuba,2,3.40,3.40,3.75,0.00,3.75,3.75,4.00,3.70,3.65
GUR,Gurijuba,3,3.30,3.45,3.50,0.00,3.50,3.40,4.00,3.70,3.50
PAM,Pescada amaela,1,4.00,3.60,3.85,3.80,4.00,3.80,4.00,3.80,3.85
PAM,Pescada amaela,2,3.60,3.30,3.70,3.65,3.40,3.65,3.75,3.65,3.75
PAM,Pescada amaela,3,3.60,3.45,3.45,3.40,3.45,3.30,3.80,3.55,3.65
PED,Peixe pedra,1,3.45,3.25,3.10,3.35,3.60,3.58,4.00,3.20,3.60
PED,Peixe pedra,2,4.00,3.85,4.00,3.65,4.00,3.76,4.00,3.85,3.85
PED,Peixe pedra,3,4.00,3.50,3.70,4.00,3.60,3.65,3.95,3.60,3.70
PAC,Pacamã,1,3.30,3.75,3.30,0.00,3.45,3.35,3.45,3.20,3.55
PAC,Pacamã,2,3.60,3.40,3.45,0.00,4.00,3.45,3.00,3.60,3.40
PAC,Pacamã,3,3.65,3.45,3.00,0.00,4.00,4.00,4.00,4.00,3.35
TIM,Timbira,1,4.00,3.60,3.85,0.00,3.60,4.00,4.00,3.70,4.00
TIM,Timbira,2,3.20,3.45,3.45,0.00,3.15,3.35,3.85,3.50,3.85
TIM,Timbira,3,3.35,3.55,3.00,0.00,3.75,3.30,3.00,3.50,3.45
TUV,Tuvira,1,4.00,3.50,3.90,0.00,4.00,3.65,4.00,3.60,3.65
TUV,Tuvira,2,3.30,3.40,3.05,0.00,3.55,3.85,3.00,3.60,3.30
TUV,Tuvira,3,3.45,3.45,3.60,0.00,3.50,3.20,3.00,3.05,3.80
